"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","Z jakich form nauki korzystasz?","Jak oceniasz poziom nauki informatyki w szkole?","Czy uważasz, że twój nauczyciel/ka z informatyki miał/a wystarczające kwalifikacje do nauki tego przedmiotu?","Które zagadnienia były omawiane na Twoich lekcjach informatyki? ","Czy uważasz, że darmowa platforma e-learningowa pomagająca w nauce do matury z informatyki jest potrzebna?","Czy przystępowałeś już do egzaminu maturalnego?","Czy roważałeś/aś kiedykolwiek związanie swojej kariery zawodowej z branżą IT?","Czy rozważałeś/aś podejście do matury w przyszłości?","Czy przystępowałeś do matury z informatyki?","Jeśli nie przystępowałeś do matury z informatyki, to dlaczego?","Do klasy o jakim profilu chodzisz?","Czy rozważasz swoją przyszłą karierę w IT?","Jakie przedmioty rozszerzone planujesz wybrać?","Czy uważasz, że zajęcia w szkole wystarczą do dobrego przygotowania do matury z informatyki?","Czy miałeś/aś możliwość wybrania rozszerzenia z informatyki? Czy w Twojej szkole istnieje klasa o profilu informatycznym?","Czy korzystasz z korepetycji z informatyki?","Jak często korzystałeś/aś lub korzystasz z podręcznika do informatyki?","Przygotowując się do tej matury jak często korzystałeś/aś lub korzystasz z materiałów dostępnych w internecie?","Jak oceniasz dostępność i jakość materiałów do nauki do matury z informatyki?","Czy materiały z których korzystasz są dostępne bezpłatnie?"
"2022/12/30 5:39:03 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Korepetycje","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","nie mialem takich zainteresowań ale teraz z chęcią zaczerpnalbym takiej wiedzy ","","","","","","","","","",""
"2022/12/30 5:39:42 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne)","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","4","1","Różnie"
"2022/12/30 5:42:24 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","5","3","Tak"
"2022/12/30 5:42:44 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy online (bezpłatne);Dokumentacja tego, czego próbuję użyć","2","Tak","Obsługa edytorów tekstowych (Word);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Nie, jest wystarczająco dużo takich platform","","","","Nie","Byłam w finale olimpiady informatycznej, daje zwolnienie z matury z wynikiem 100%","","","","","","","","","",""
"2022/12/30 5:42:56 PM CET","Mężczyzna","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe;Szkoła/uczelnia","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo;Tworzenie prostych stron internetowych, prezentacji","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","2","5","3","Tak"
"2022/12/30 5:44:21 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie musiałam tego robić, żeby dostać się na studia, na które chciałam pójść, a słyszałam dużo negatywnych opinii o tej maturze. ","","","","","","","","","",""
"2022/12/30 5:46:37 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Korepetycje;Kursy online (płatne);Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","2","5","3","W większości tak"
"2022/12/30 5:46:44 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","W mojej szkole nie miałam możliwości żeby przygotować się do takiej matury","","","","","","","","","",""
"2022/12/30 5:46:55 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (bezpłatne)","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie była mi potrzebna do mojego kierunku studiów ","","","","","","","","","",""
"2022/12/30 5:48:33 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","","","","","","","","","","",""
"2022/12/30 5:50:59 PM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","Nie robiłem tego przedmiotu","","","","","","","","","",""
"2022/12/30 5:51:39 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","3","Nie wiem","Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.)","Nie, jest wystarczająco dużo takich platform","","","","Nie","Brak wiary w powodzenie na maturze + niepotrzebne do rekrutacji na studia","","","","","","","","","",""
"2022/12/30 5:53:41 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne)","1","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Nie, jest wystarczająco dużo takich platform","","","","Tak","","","","","","","Nie","1","5","4","Tak"
"2022/12/30 5:56:26 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe;Bootcamp'y","2","Nie","Podstawy programowania (Logomocja, Scratch);Algorytmika;Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Ponieważ do matury z matematyki/fizyki przygotowania trwały 3 lata a z informatyki tylko rok (bo wtedy byłoby pomoc nauczyciela)","","","","","","","","","",""
"2022/12/30 6:01:08 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nie byłam zainteresowana. Nie posiadałam wystarczającej wiedzy oraz nie była mi potrzebna do rekrutacji na studia ","","","","","","","","","",""
"2022/12/30 6:03:07 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne)","2","Nie","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);sieci neuronowe","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","5","3","W większości tak"
"2022/12/30 6:05:09 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Poszłam na inny kierunek studiów, gdzie nie była wymagana matura z informatyki, później dopiero zaczęłam się interesować pracą w IT","","","","","","","","","",""
"2022/12/30 6:05:13 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Poszłam na inny kierunek studiów, gdzie nie była wymagana matura z informatyki, później dopiero zaczęłam się interesować pracą w IT","","","","","","","","","",""
"2022/12/30 6:05:33 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Strony i platformy e-learningowe;StackOverflow","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","3","4","Tak"
"2022/12/30 6:12:31 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Tutoriale na YT;Kursy stacjonarne","4","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka","Nie","Tak","Tak","1","5","1","W większości tak"
"2022/12/30 6:28:50 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Matematyka;Fizyka;Geografia ","Nie dotyczy","Tak","Nie","1","","",""
"2022/12/30 6:31:27 PM CET","Kobieta","18-26 lat","Podstawowe","Książki i podręczniki;Tutoriale na YT;Korepetycje","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Matematyka;Fizyka","Tak","Tak","Nie","1","1","3","Tak"
"2022/12/30 6:36:56 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Tutoriale na YT;Kursy stacjonarne","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","Tak","","","Nie","Zdawałam fizykę, bo łatwiej się jej nauczyć.","","","","","","","","","",""
"2022/12/30 6:40:32 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Nie, jest wystarczająco dużo takich platform","","","","Tak","","","","","","","Nie","2","5","4","Tak"
"2022/12/30 6:45:46 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","Informatyka;Matematyka;Angielski ","Nie","Tak","Nie","1","5","3","Tak"
"2022/12/30 6:47:32 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","5","Tak","Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","5","4","Tak"
"2022/12/30 6:48:00 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Korepetycje","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Fizyka","Tak","Tak","Nie","1","3","4","Tak"
"2022/12/30 6:49:03 PM CET","Mężczyzna","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT","4","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Fizyka","Nie dotyczy","Nie","Nie","3","3","3","Różnie"
"2022/12/30 6:49:10 PM CET","Mężczyzna","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Fizyka","Nie","Tak","Nie","4","5","4","W większości tak"
"2022/12/30 6:49:14 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Strony i platformy e-learningowe","3","Tak","Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","nie było mi to potrzebne","","","","","","","","","",""
"2022/12/30 6:50:03 PM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Tutoriale na YT;Kursy online (bezpłatne)","2","Nie","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","","Nie","Tak","Nie","2","3","3","Tak"
"2022/12/30 6:50:10 PM CET","Mężczyzna","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Angielski ","Nie","Tak","Nie","1","5","2","Tak"
"2022/12/30 6:55:49 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Nie","Informatyka;Matematyka","Nie","Tak","Nie","1","5","2","Różnie"
"2022/12/30 6:56:53 PM CET","Kobieta","Poniżej 18 roku życia","Podstawowe","Książki i podręczniki;Tutoriale na YT","4","Tak","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","","Może","Informatyka;Matematyka;angielski","Tak","Tak","Nie","2","3","4","Tak"
"2022/12/30 6:58:54 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Korepetycje","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nie interesowało mnie to, ani nie było mi to potrzebne","","","","","","","","","",""
"2022/12/30 7:01:56 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Mój nauczyciel z informatyki prowadził zajęcia w naprawdę niezadowalający sposób, a brakowało ogólnodostępnych źródeł oraz czasu, by uczyć się samemu wszystkiego.","","","","","","","","","",""
"2022/12/30 7:03:17 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy stacjonarne;Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Matura z informatyki nie przydałaby mi się do dostania się na wybrany kierunek studiów ","","","","","","","","","",""
